last_broadcast_time,velocity,angle,delta_t,Delta_t,ID,dimension_x,dimension_y,distance,,,,,,c=,300
09:23:01,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:02,3,0,0.05,1,4,470.5,184,15,,Toyota Fortuner,4,470.5,184,,
09:23:03,3,0,0.05,1,4,470.5,184,15,,,Column1,Column2,,,
09:23:04,3,0,0.05,1,4,470.5,184,15,,,5,-90,,,
09:23:05,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:06,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:07,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:08,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:09,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:10,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:11,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:12,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:13,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:14,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:15,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:16,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:17,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:18,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:19,3,0,0.05,1,4,470.5,184,15,,,,,,,
09:23:20,3,0,0.05,1,4,470.5,184,15,,,,,,,
