last_broadcast_time,velocity,angle,delta_t,Delta_t,ID,dimension_x,dimension_y,distance
09:23:01,3,180,0.05,1,2,465.5,189,15
09:23:02,3,180,0.05,1,2,465.5,189,15
09:23:03,3,180,0.05,1,2,465.5,189,15
09:23:04,3,180,0.05,1,2,465.5,189,15
09:23:05,3,180,0.05,1,2,465.5,189,15
09:23:06,3,180,0.05,1,2,465.5,189,15
09:23:07,3,180,0.05,1,2,465.5,189,15
09:23:08,3,180,0.05,1,2,465.5,189,15
09:23:09,3,180,0.05,1,2,465.5,189,15
09:23:10,3,180,0.05,1,2,465.5,189,15
09:23:11,3,180,0.05,1,2,465.5,189,15
09:23:12,3,180,0.05,1,2,465.5,189,15
09:23:13,3,180,0.05,1,2,465.5,189,15
09:23:14,3,180,0.05,1,2,465.5,189,15
09:23:15,3,180,0.05,1,2,465.5,189,15
09:23:16,3,180,0.05,1,2,465.5,189,15
09:23:17,3,180,0.05,1,2,465.5,189,15
09:23:18,3,180,0.05,1,2,465.5,189,15
09:23:19,3,180,0.05,1,2,465.5,189,15
09:23:20,3,180,0.05,1,2,465.5,189,15
