last_broadcast_time,velocity,angle,delta_t,Delta_t,ID,dimension_x,dimension_y,distance,,,,,,c=,300
09:23:01,3,-90,0.05,1,5,477,189,15,,name,ID,x,y,,
09:23:02,3,-90,0.05,1,5,477,189,15,,Hyundai SantaFe,5,477,189,,
09:23:03,3,-90,0.05,1,5,477,189,15,,,2,180,,,
09:23:04,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:05,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:06,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:07,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:08,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:09,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:10,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:11,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:12,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:13,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:14,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:15,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:16,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:17,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:18,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:19,3,-90,0.05,1,5,477,189,15,,,,,,,
09:23:20,3,-90,0.05,1,5,477,189,15,,,,,,,
