,last_broadcast_time,velocity,angle,delta_t,Delta_t,ID,dimension_x,dimension_y,distance
2,9:23:01,3,0,0.05,1,4,470.5,184.0,15
6,9:23:02,3,0,0.05,1,4,470.5,184.0,15
10,9:23:03,3,0,0.05,1,4,470.5,184.0,15
14,9:23:04,3,0,0.05,1,4,470.5,184.0,15
18,9:23:05,3,0,0.05,1,4,470.5,184.0,15
22,9:23:06,3,0,0.05,1,4,470.5,184.0,15
26,9:23:07,3,0,0.05,1,4,470.5,184.0,15
30,9:23:08,3,0,0.05,1,4,470.5,184.0,15
34,9:23:09,3,0,0.05,1,4,470.5,184.0,15
38,9:23:10,3,0,0.05,1,4,470.5,184.0,15
42,9:23:11,3,0,0.05,1,4,470.5,184.0,15
46,9:23:12,3,0,0.05,1,4,470.5,184.0,15
50,9:23:13,3,0,0.05,1,4,470.5,184.0,15
54,9:23:14,3,0,0.05,1,4,470.5,184.0,15
58,9:23:15,3,0,0.05,1,4,470.5,184.0,15
62,9:23:16,3,0,0.05,1,4,470.5,184.0,15
66,9:23:17,3,0,0.05,1,4,470.5,184.0,15
70,9:23:18,3,0,0.05,1,4,470.5,184.0,15
74,9:23:19,3,0,0.05,1,4,470.5,184.0,15
78,9:23:20,3,0,0.06,1,4,470.5,184.0,18
