,last_broadcast_time,velocity,angle,delta_t,Delta_t,ID,dimension_x,dimension_y,distance
0,9:23:01,3,180,0.05,1,2,465.5,189.0,15
4,9:23:02,3,180,0.05,1,2,465.5,189.0,15
8,9:23:03,3,180,0.05,1,2,465.5,189.0,15
12,9:23:04,3,180,0.05,1,2,465.5,189.0,15
16,9:23:05,3,180,0.05,1,2,465.5,189.0,15
20,9:23:06,3,180,0.05,1,2,465.5,189.0,15
24,9:23:07,3,180,0.05,1,2,465.5,189.0,15
28,9:23:08,3,180,0.05,1,2,465.5,189.0,15
32,9:23:09,3,180,0.05,1,2,465.5,189.0,15
36,9:23:10,3,180,0.05,1,2,465.5,189.0,15
40,9:23:11,3,180,0.05,1,2,465.5,189.0,15
44,9:23:12,3,180,0.05,1,2,465.5,189.0,15
48,9:23:13,3,180,0.05,1,2,465.5,189.0,15
52,9:23:14,3,180,0.05,1,2,465.5,189.0,15
56,9:23:15,3,180,0.05,1,2,465.5,189.0,15
60,9:23:16,3,180,0.05,1,2,465.5,189.0,15
64,9:23:17,3,180,0.05,1,2,465.5,189.0,15
68,9:23:18,3,180,0.05,1,2,465.5,189.0,15
72,9:23:19,3,180,0.05,1,2,465.5,189.0,15
76,9:23:20,3,180,0.05,1,2,465.5,189.0,15
